NOMBRE EN LA BdeD,#Phase,Normalized_Phase
V265,5.0,5
V269,5.0,5
V267,5.0,5
LME3m,5.0,5
Nutpesowho3,5.0,5
Nuttallawho3,5.0,5
Nutpcwho3,5.0,5
V272,5.0,5
V271,5.0,5
V274,5.0,5
V273,5.0,5
V296,5.0,5
V291,5.0,5
V295,5.0,5
V275A,5.0,5
V286,5.0,5
audiometriapato,5.0,5
V300,5.0,5
CONSULT10,5.0,5
V275E,5.0,5
V275F,5.0,5
V275H,5.0,5
V260,5.0,5
V289,5.0,5
V259,5.0,5
V298,5.0,5
V299,5.0,5
V275B,5.0,5
V287,5.0,5
V293,5.0,5
V285,5.0,5
V301C,5.0,5
V282,5.0,5
V281,5.0,5
V284,5.0,5
V283,5.0,5
V301A,5.0,5
V275,5.0,5
optometriapato,5.0,5
V288,5.0,5
V275C,5.0,5
V275D,5.0,5
V294,5.0,5
V275G,5.0,5
V297,5.0,5
V301D,5.0,5
REHOSP10,5.0,5
V301B,5.0,5
V301,5.0,5
V292,5.0,5
vino3m,5.0,5
V306,6.0,6
V304,6.0,6
V305,6.0,6
V315,6.0,6
DIASTOT11,6.0,6
V319,6.0,6
V321,6.0,6
V320,6.0,6
V318,6.0,6
V322,6.0,6
CD6,6.0,6
V344,6.0,6
V344C,6.0,6
V332,6.0,6
infanib6m,6.0,6
IQ6cat,6.0,6
V344B,6.0,6
algoLM6meses,6.0,6
ali6m,6.0,6
V311,6.0,6
V312,6.0,6
V314,6.0,6
V309,6.0,6
V307,6.0,6
V308,6.0,6
V313,6.0,6
V310,6.0,6
LME6m,6.0,6
Nutpcwho6,6.0,6
Nutpesowho6,6.0,6
Nuttallawho6,6.0,6
V338,6.0,6
V333,6.0,6
V337,6.0,6
V317A,6.0,6
V328,6.0,6
V342,6.0,6
CONSULT11,6.0,6
V317E,6.0,6
V317F,6.0,6
V317H,6.0,6
V303,6.0,6
V331,6.0,6
V302,6.0,6
V340,6.0,6
V341,6.0,6
V317B,6.0,6
V329,6.0,6
V335,6.0,6
V327,6.0,6
V316,6.0,6
V343B,6.0,6
V324,6.0,6
V323,6.0,6
V326,6.0,6
V325,6.0,6
V344A,6.0,6
V317,6.0,6
V330,6.0,6
V317C,6.0,6
V317D,6.0,6
V336,6.0,6
V317G,6.0,6
V339,6.0,6
V344D,6.0,6
REHOSP11,6.0,6
V343A,6.0,6
rsm6m,6.0,6
V343,6.0,6
V334,6.0,6
vino6m,6.0,6
V349,7.0,7
V347,7.0,7
V348,7.0,7
V358,7.0,7
DIASTOT12,7.0,7
V362,7.0,7
V364,7.0,7
V363,7.0,7
V361,7.0,7
V365,7.0,7
V375,7.0,7
infanib9m,7.0,7
ali9m,7.0,7
V354,7.0,7
V355,7.0,7
V357,7.0,7
V352,7.0,7
V350,7.0,7
V351,7.0,7
V356,7.0,7
V353,7.0,7
Nutpcwho9,7.0,7
Nutpesowho9,7.0,7
Nuttallawho9,7.0,7
V381,7.0,7
V376,7.0,7
V380,7.0,7
V360A,7.0,7
V371,7.0,7
V385,7.0,7
CONSULT12,7.0,7
V360E,7.0,7
V360F,7.0,7
V360H,7.0,7
V346,7.0,7
V374,7.0,7
V345,7.0,7
V383,7.0,7
V384,7.0,7
V360B,7.0,7
V372,7.0,7
V378,7.0,7
V370,7.0,7
V359,7.0,7
V386B,7.0,7
V367,7.0,7
V366,7.0,7
V369,7.0,7
V368,7.0,7
V386D,7.0,7
V360,7.0,7
V373,7.0,7
V360C,7.0,7
V360D,7.0,7
V379,7.0,7
V360G,7.0,7
V382,7.0,7
V386C,7.0,7
REHOSP12,7.0,7
rehosp40a12meses,7.0,7
ROP,7.0,7
ROPciego,7.0,7
ROPcirugia,7.0,7
V386A,7.0,7
V386,7.0,7
V377,7.0,7
vino9m,7.0,7
V391,8.0,8
V389,8.0,8
V390,8.0,8
V400,8.0,8
V8,8.0,8
V404,8.0,8
V406,8.0,8
V405,8.0,8
V403,8.0,8
V407,8.0,8
CD12,8.0,8
V429,8.0,8
V429A,8.0,8
V430C,8.0,8
V417,8.0,8
infanib12m,8.0,8
IQ12cat,8.0,8
V430,8.0,8
V430B,8.0,8
ali12m,8.0,8
V396,8.0,8
V397,8.0,8
V399,8.0,8
V394,8.0,8
V392,8.0,8
V393,8.0,8
V398,8.0,8
V395,8.0,8
indexnutricion12meses,8.0,8
Nutpcwho12,8.0,8
Nutpesowho12,8.0,8
Nuttallawho12,8.0,8
V423,8.0,8
V418,8.0,8
V422,8.0,8
V402A,8.0,8
V413,8.0,8
audiometria,8.0,8
V427,8.0,8
desercioncat,8.0,8
Desercionreal12meses,8.0,8
V10A,8.0,8
V402E,8.0,8
V402F,8.0,8
V402H,8.0,8
V10,8.0,8
V388,8.0,8
V416,8.0,8
vacunas12mHepB,8.0,8
vacunas12mneumo,8.0,8
vacunas12mrota,8.0,8
V10C,8.0,8
examenneurodurante12meses,8.0,8
V387,8.0,8
V425,8.0,8
V426,8.0,8
V402B,8.0,8
